"Genes"	"logFC: 2M WT vs 2M HET"	"FDR: 2M WT vs 2M HET"	"logFC: 6M WT vs 6M HET"	"FDR: 6M WT vs 6M HET"	"logFC: 18M WT vs 18M HET"	"FDR: 18M WT vs 18M HET"	"logFC: 24M WT vs 24M HET"	"FDR: 24M WT vs 24M HET"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000317"	-0.659179990070655	0.584737264956773	-0.354460770416034	0.999744995548852	0.143194204066052	0.968063111562366	-0.516488947822092	0.530737104025707	"Bcl6b"	"B cell CLL/lymphoma 6, member B"
"ENSMUSG00000000320"	0.870811148102422	0.725743463534977	-0.452903366464394	0.999744995548852	-0.0252201229031901	0.998177872072818	-0.126482667528064	0.947713443062982	"Alox12"	"arachidonate 12-lipoxygenase"
"ENSMUSG00000000339"	-0.0726290632060328	0.939394905236364	0.102400630495892	0.999744995548852	-0.00459956870629455	0.99834401144297	0.158786191342285	0.635149549542814	"Rtca"	"RNA 3'-terminal phosphate cyclase"
"ENSMUSG00000000340"	-0.0903249811910441	0.873853289406857	-0.247272994864232	0.999744995548852	-0.24222144261218	0.30187156120502	-0.020022111371774	0.955415251034763	"Dbt"	"dihydrolipoamide branched chain transacylase E2"
"ENSMUSG00000000346"	-0.135403799127736	0.486545212266928	-0.0114925635492437	0.999744995548852	-0.0808600615677286	0.807179107509451	0.0567866745923713	0.721313750213374	"Dazap2"	"DAZ associated protein 2"
"ENSMUSG00000000355"	-0.136869618896282	0.676825158448445	-0.0151500985849905	0.999744995548852	-0.0343970148075892	0.971865580589952	-0.0877113654560125	0.688021523405077	"Mcts1"	"malignant T cell amplified sequence 1"
"ENSMUSG00000000359"	-1.22145409010018	0.50016730061047	-0.179578542388871	0.999744995548852	0.579804759704745	0.878940234148108	-0.585970935225171	0.723499885188205	"Rem1"	"rad and gem related GTP binding protein 1"
"ENSMUSG00000000365"	0.364049871640001	0.899201397594482	-0.172696268149018	0.999744995548852	-0.336131091851618	0.917191878507731	-0.925210441616395	0.261772893945045	"Rnf17"	"ring finger protein 17"
"ENSMUSG00000000374"	0.0605476212855299	0.838342904060524	-0.0139773664276708	0.999744995548852	0.0337451468173735	0.943537646700459	0.0311000974993189	0.849877473609576	"Trappc10"	"trafficking protein particle complex 10"
"ENSMUSG00000000378"	0.0360972893596268	0.946806924712614	-0.105970500763039	0.999744995548852	-0.023338349654315	0.981322378094188	-0.094622569961596	0.653969327707188	"Ccm2"	"cerebral cavernous malformation 2"
"ENSMUSG00000000384"	0.0635446480140519	0.93421488353402	-0.00953663987656998	0.999744995548852	0.0707922261840644	0.943537646700459	0.00576200615392186	0.988479921508661	"Tbrg4"	"transforming growth factor beta regulated gene 4"
"ENSMUSG00000000386"	-0.777885216742865	0.826178101360966	-0.685585658180672	0.999744995548852	1.75289475905875	0.070528986147757	0.330880423957459	0.80836916488886	"Mx1"	""
"ENSMUSG00000000392"	-0.0701320252874367	0.968054378224179	0.261937541687715	0.999744995548852	-0.206873952262638	0.907836076450328	-0.00282714149379766	0.996996445829422	"Fap"	"fibroblast activation protein"
"ENSMUSG00000000399"	-0.0533726398132445	0.886059378043811	-0.128586276003043	0.999744995548852	-0.00671147990035959	0.992426261505759	-0.104751428232872	0.412466865184106	"Ndufa9"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9"
"ENSMUSG00000000402"	-0.540558962335022	0.641245582755647	-0.212720988136496	0.999744995548852	-0.217071322240431	0.94280746102496	-0.453969432536391	0.609137655492074	"Egfl6"	"EGF-like-domain, multiple 6"
"ENSMUSG00000000409"	0.387705627330039	0.8315420044608	0.137050271464099	0.999744995548852	-0.0748828985891171	0.988137393607584	0.374258884315038	0.687780633549419	"Lck"	"lymphocyte protein tyrosine kinase"
"ENSMUSG00000000416"	-0.0364395825680334	0.945905343826747	-0.0173542896349644	0.999744995548852	-0.172527503331939	0.4320917646791	-0.0762552197986271	0.719152928443331	"Cttnbp2"	"cortactin binding protein 2"
"ENSMUSG00000000420"	-0.0621779206279875	0.875576427232872	0.0559244267263483	0.999744995548852	-0.0445404128719712	0.943537646700459	-0.091653397807379	0.555760384255612	"Galnt1"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1"
"ENSMUSG00000000439"	0.0681060353093615	0.90625778685758	-0.0275262638033528	0.999744995548852	-0.0591349279128599	0.943537646700459	-0.0950738872874575	0.697650586533962	"Mkrn2"	"makorin, ring finger protein, 2"
"ENSMUSG00000000440"	-0.152353670573225	0.935041400837555	0.197761468311884	0.999744995548852	0.282433903127278	0.874737803042676	0.0052351090360348	0.995853655069818	"Pparg"	"peroxisome proliferator activated receptor gamma"
"ENSMUSG00000000441"	-0.00059142535649617	0.999746801163303	-0.0454138763198124	0.999744995548852	-0.107850145978453	0.574587708356962	0.0237308019018265	0.899922083857646	"Raf1"	"v-raf-leukemia viral oncogene 1"
"ENSMUSG00000000486"	-0.186403354947531	0.94980784705222	-0.434603127941542	0.999744995548852	0.249092071663597	0.958339983167429	-0.046090503247524	0.980715496969359	"Sept1"	"septin 1"
"ENSMUSG00000000489"	-0.188002503090316	0.691315413750409	0.0490600368911516	0.999744995548852	0.191228867722157	0.697053791369137	0.0688615565981928	0.849877473609576	"Pdgfb"	"platelet derived growth factor, B polypeptide"
"ENSMUSG00000000530"	-0.146461471557798	0.820091111301047	-0.191557632368289	0.999744995548852	0.288725670833327	0.378154948721983	-0.154109433393592	0.613174151826395	"Acvrl1"	"activin A receptor, type II-like 1"
"ENSMUSG00000000531"	0.120601294855291	0.884515830025484	-0.0283095943589264	0.999744995548852	-0.099717479291175	0.939463041728211	-0.00218629699287308	0.996619811046718	"Grasp"	"GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein"
"ENSMUSG00000000532"	0.107260716811573	0.660874616572116	0.017574444771917	0.999744995548852	0.00647570210751885	0.992478800118216	0.0377902508756097	0.836511120780083	"Acvr1b"	"activin A receptor, type 1B"
"ENSMUSG00000000538"	0.03247019320489	0.9215584501589	-0.0698061419553417	0.999744995548852	-0.012166637136575	0.986131136184366	-0.103756194050654	0.294102161697786	"Tom1l2"	"target of myb1-like 2 (chicken)"
"ENSMUSG00000000552"	-0.0548242346377149	0.901998684712185	-0.0990990630172163	0.999744995548852	0.0313403572776944	0.965772887222713	0.101823536597959	0.49197420623998	"Zfp385a"	"zinc finger protein 385A"
"ENSMUSG00000000555"	-0.168839530057975	0.864598281937819	0.16153898770328	0.999744995548852	-0.0858476444882185	0.965772887222713	0.346584323178516	0.358251517047952	"Itga5"	"integrin alpha 5 (fibronectin receptor alpha)"
"ENSMUSG00000000560"	-0.527278942290686	0.542223479928624	0.118657867193981	0.999744995548852	0.00951276128327781	0.99834401144297	-0.686426357128945	0.110616935792207	"Gabra2"	"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"ENSMUSG00000000561"	-0.0389099131014382	0.945905343826747	0.0349194442272057	0.999744995548852	-0.0285422160249218	0.976573541263963	0.0384375671966101	0.886514647781726	"Wdr77"	"WD repeat domain 77"
"ENSMUSG00000000562"	0.0868633947072528	0.978219412105984	0.214378675370794	0.999744995548852	0.93354878292941	0.248112731315791	0.660913191629815	0.433824119436066	"Adora3"	"transmembrane and immunoglobulin domain containing 3"
"ENSMUSG00000000563"	-0.100786817350227	0.642874427167432	0.0181875569621526	0.999744995548852	-0.00987047016184654	0.989127928836463	-0.120424055105826	0.281944850628899	"Atp5f1"	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
"ENSMUSG00000000567"	-0.170340002857783	0.84324197008954	-0.043581445521627	0.999744995548852	0.0151230842433507	0.993860377604257	-0.0123517895420142	0.983589962705001	"Sox9"	"SRY (sex determining region Y)-box 9"
"ENSMUSG00000000568"	0.0114896212149008	0.984194269508768	0.0818300404825344	0.999744995548852	-0.0107808053817749	0.989254050157957	-0.0651885239797816	0.680779471382061	"Hnrnpd"	"heterogeneous nuclear ribonucleoprotein D"
"ENSMUSG00000000581"	-0.0128342374532576	0.989478459044317	0.0582267025697916	0.999744995548852	0.0267543519217739	0.980334584006066	-0.0575954500993906	0.828491142568908	"C1d"	"C1D nuclear receptor co-repressor"
"ENSMUSG00000000594"	-0.054060600166541	0.902834352716826	-0.116272294986001	0.999744995548852	0.105021689790643	0.748303589240444	0.204248209200719	0.0843436032620873	"Gm2a"	"GM2 ganglioside activator protein"
"ENSMUSG00000000600"	-0.00181993252074377	0.998616755252211	0.0137317844531707	0.999744995548852	-0.0777586140853858	0.88074038541039	-0.145539559164362	0.38241219416834	"Krit1"	"KRIT1, ankyrin repeat containing"
"ENSMUSG00000000605"	0.0179718342382016	0.963507723185547	0.0434070941106826	0.999744995548852	-0.0286071759200422	0.961753665112754	-0.146459330087321	0.125299134066651	"Clcn4-2"	"chloride channel 4-2"
"ENSMUSG00000000627"	0.0885914291205698	0.770944383262872	-0.0585986693693029	0.999744995548852	0.00111780763004694	0.99834401144297	-0.114389825647077	0.419413576332184	"Sema4f"	"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
"ENSMUSG00000000628"	0.0645907374013585	0.965821802020717	0.0516207131303568	0.999744995548852	0.602494894197614	0.120251819382241	0.424248328973559	0.296997753289997	"Hk2"	"hexokinase 2"
"ENSMUSG00000000631"	0.0670726537672817	0.849893286112327	-0.0427436661844175	0.999744995548852	0.0689844507914288	0.874737803042676	-0.0116410095801229	0.956654160277873	"Myo18a"	"myosin XVIIIA"
"ENSMUSG00000000632"	0.125838044094557	0.583418856900116	-0.00512932942398521	0.999744995548852	0.0571750063685249	0.907836076450328	0.00833762823788693	0.970216866020968	"Sez6"	"seizure related gene 6"
"ENSMUSG00000000682"	-0.110992479251959	0.973319449679844	-0.674415323437083	0.999744995548852	1.31853882670131	0.0172219179507657	1.00629620772922	0.0338979191430769	"Cd52"	"CD52 antigen"
"ENSMUSG00000000686"	-0.220278996970047	0.945905343826747	-0.13898960232816	0.999744995548852	-0.4109970626357	0.939463041728211	-0.118509869629663	0.928002207220043	"Abhd15"	"abhydrolase domain containing 15"
"ENSMUSG00000000693"	-0.0734287532926621	0.961959080764972	-0.387807456341288	0.999744995548852	-0.211277998390138	0.901563478981687	0.135251851062454	0.84114114857091	"Loxl3"	"lysyl oxidase-like 3"
"ENSMUSG00000000708"	-0.0633261762495856	0.936245533956585	0.0279621091902481	0.999744995548852	0.0490734315038433	0.971197567880931	0.124401137010624	0.653921544911567	"Kat2b"	"K(lysine) acetyltransferase 2B"
"ENSMUSG00000000711"	0.0177081934597829	0.97108482573477	-0.000202838472110567	0.999907589514652	-0.0661496558044958	0.874737803042676	-0.0629828045413406	0.704940828740419	"Rab5b"	"RAB5B, member RAS oncogene family"
"ENSMUSG00000000732"	-0.105244512655556	0.949343943230195	-0.0218302855887336	0.999744995548852	-0.000774162834110687	0.999229963545566	-0.0134364240633299	0.987701559357894	"Icosl"	"icos ligand"
"ENSMUSG00000000738"	-0.0158812338737475	0.980795131183993	-0.0482528106093947	0.999744995548852	0.0429329658470125	0.951695214596033	0.0424738173016928	0.851018676773661	"Spg7"	"spastic paraplegia 7 homolog (human)"
"ENSMUSG00000000740"	-0.0911573805857072	0.945905343826747	0.00112963021817471	0.999907589514652	-0.171133980659495	0.918232990035317	-0.0087777291109825	0.990332111126624	"Rpl13"	"ribosomal protein L13"
"ENSMUSG00000000743"	-0.0669501266711903	0.903315825327853	-0.0697058243367469	0.999744995548852	-0.066121457287231	0.93080003875414	-0.0814809990110148	0.721048051029388	"Chmp1a"	"charged multivesicular body protein 1A"
"ENSMUSG00000000751"	-0.0674885426680137	0.86656039752583	0.028622410429411	0.999744995548852	0.0855827689348615	0.830178346052849	-0.00505367498310896	0.984795834180961	"Rpa1"	"replication protein A1"
"ENSMUSG00000000753"	-0.0882202163068162	0.940571719192818	0.0725391318599782	0.999744995548852	0.405418020786145	0.387724296638971	0.0906749345764689	0.871161519142966	"Serpinf1"	"serine (or cysteine) peptidase inhibitor, clade F, member 1"
"ENSMUSG00000000759"	0.0325508325099334	0.943011230077711	-0.00268307196234773	0.999744995548852	0.00913148745481833	0.991437145161302	0.0293316076128689	0.894813020913068	"Tubgcp3"	"tubulin, gamma complex associated protein 3"
"ENSMUSG00000000766"	0.266922326025535	0.830705933698669	-0.0112030459348327	0.999744995548852	0.304295477086007	0.83438550191217	-0.0208458568744393	0.983589962705001	"Oprm1"	"opioid receptor, mu 1"
"ENSMUSG00000000776"	-0.096214296405232	0.913077027362487	0.00658817349408621	0.999744995548852	-0.0564883036172408	0.971197567880931	0.00116879018309056	0.997558116269015	"Polr3d"	"polymerase (RNA) III (DNA directed) polypeptide D"
"ENSMUSG00000000782"	-0.0701781774872465	0.951275204277906	-0.165056521093394	0.999744995548852	-0.126970087037098	0.939190957792895	-0.0615947319758533	0.923126529917679	"Tcf7"	"transcription factor 7, T cell specific"
"ENSMUSG00000000787"	0.056228298446274	0.884969315820894	0.0140239952656305	0.999744995548852	0.0387742814098814	0.943537646700459	-0.0458874750645134	0.791537885341889	"Ddx3x"	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked"
"ENSMUSG00000000791"	0.205794099006884	0.928140662089859	-0.083161187257515	0.999744995548852	0.44754050563635	0.90933294197058	0.547347507953795	0.512933844240217	"Il12rb1"	"interleukin 12 receptor, beta 1"
"ENSMUSG00000000792"	0.00696325017217209	0.99591767610261	-0.0452399923681912	0.999744995548852	0.108642170925746	0.874737803042676	0.0359339993430096	0.917045178577667	"Slc5a5"	"solute carrier family 5 (sodium iodide symporter), member 5"
"ENSMUSG00000000794"	0.230469144472452	0.473643595636611	0.0133199947988074	0.999744995548852	-0.0187815354538085	0.988137393607584	-0.0713363811088264	0.817981514787457	"Kcnn3"	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
"ENSMUSG00000000804"	0.00804887422522552	0.988538451233015	-0.0169618221067164	0.999744995548852	-0.0810317076192127	0.727847501958789	-0.101763019482587	0.34004913806197	"Usp32"	"ubiquitin specific peptidase 32"
"ENSMUSG00000000805"	-0.169080273141521	0.644157989962529	-0.0177589613768363	0.999744995548852	-0.0473790684868121	0.967001284902901	0.107331068799752	0.679454483583649	"Car4"	"carbonic anhydrase 4"
"ENSMUSG00000000811"	0.0582484464848395	0.974626119621844	0.425238129631682	0.999744995548852	-0.239315180262424	0.878244400899187	0.451295241241257	0.281944850628899	"Txnrd3"	"thioredoxin reductase 3"
"ENSMUSG00000000823"	0.0890278290535907	0.895737121778889	0.0872503080760878	0.999744995548852	0.0863857106558039	0.927889454548654	0.186742282997468	0.381736292329419	"Znf512b"	"zinc finger protein 512B"
"ENSMUSG00000000826"	0.0254580904693707	0.92840181574968	-0.0190082895860824	0.999744995548852	-0.0343995701404494	0.927889454548654	-0.10973282452631	0.130340002957163	"Dnajc5"	"DnaJ (Hsp40) homolog, subfamily C, member 5"
"ENSMUSG00000000827"	-0.119358996746281	0.710347090064127	-0.0285706573978811	0.999744995548852	-0.0285034944779178	0.975554328453404	0.0722640068270635	0.726413087602215	"Tpd52l2"	"tumor protein D52-like 2"
"ENSMUSG00000000838"	-0.0367610331595905	0.936245533956585	0.0515684714037434	0.999744995548852	-0.0471870840682145	0.941810603470407	-0.229422852968138	0.0296771655290667	"Fmr1"	"fragile X mental retardation syndrome 1"
"ENSMUSG00000000861"	0.133695383052644	0.583882475950278	0.133360802213981	0.999744995548852	-0.0165674286553742	0.984231211208779	0.107701076397276	0.458734885681863	"Bcl11a"	"B cell CLL/lymphoma 11A (zinc finger protein)"
"ENSMUSG00000000869"	-0.0293124792006682	0.987223142631692	0.315979591015518	0.999744995548852	-0.302930220856158	0.64812980243498	0.0610097631025621	0.92369044639761	"Il4"	"interleukin 4"
"ENSMUSG00000000876"	-0.00609443085880949	0.99591767610261	0.0835964667621603	0.999744995548852	-0.039919677325392	0.97584340183069	0.0721915030810438	0.825797170690061	"Pxmp4"	"peroxisomal membrane protein 4"
"ENSMUSG00000000881"	0.0585658028947734	0.86284185937454	-0.000405784472190639	0.999907589514652	-0.015581920453456	0.983256457754263	-0.0937588554227321	0.455988193868795	"Dlg3"	"discs, large homolog 3 (Drosophila)"
"ENSMUSG00000000884"	0.327751965214401	0.74878745850118	0.264015767056446	0.999744995548852	0.0652189046644716	0.978748862448675	0.376027540065687	0.362938729633809	"Gnb1l"	"guanine nucleotide binding protein (G protein), beta polypeptide 1-like"
"ENSMUSG00000000901"	-0.0592430055054645	0.986302643234301	-0.213044539091669	0.999744995548852	0.209348352700076	0.943537646700459	0.326079528387737	0.660094367318507	"Mmp11"	"matrix metallopeptidase 11"
"ENSMUSG00000000902"	0.0458448895234691	0.900848180620786	-0.0236520880534725	0.999744995548852	0.0485918205380012	0.923818528428609	-0.00999779270864063	0.961084897109703	"Smarcb1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"ENSMUSG00000000915"	-0.028850648541017	0.958816486713152	-0.060314674579277	0.999744995548852	-0.0283171586487503	0.976598394237395	0.0360424597956853	0.893611271205444	"Hip1r"	"huntingtin interacting protein 1 related"
"ENSMUSG00000000916"	-0.174068816653514	0.748894723595217	0.0582037137073604	0.999744995548852	-0.194678777646543	0.680292753861497	-0.0352730239847935	0.930790693805846	"Nsun5"	"NOL1/NOP2/Sun domain family, member 5"
"ENSMUSG00000000934"	0.118700896813773	0.894629203041301	-0.0147167121982606	0.999744995548852	0.329052724543311	0.318052591391652	0.00445000817468573	0.99303044494725	"Top1mt"	"DNA topoisomerase 1, mitochondrial"
"ENSMUSG00000000948"	-0.0431630932551909	0.881601968090188	-0.00870694486519604	0.999744995548852	-0.0220731439679656	0.966506803665263	0.0108462665507571	0.945927718827899	"Gm38393"	""
"ENSMUSG00000000957"	0.0584368759585515	0.956815839803675	-0.359827124550776	0.999744995548852	0.0422167161371882	0.983256457754263	0.150497361264647	0.745922647283979	"Mmp14"	"matrix metallopeptidase 14 (membrane-inserted)"
