"Genes"	"logFC: 6M WT vs 2M WT"	"FDR: 6M WT vs 2M WT"	"logFC: 18M WT vs 6M WT"	"FDR: 18M WT vs 6M WT"	"logFC: 24M WT vs 18M WT"	"FDR: 24M WT vs 18M WT"	"logFC: 24M WT vs 2M WT"	"FDR: 24M WT vs 2M WT"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000320"	-0.885848566958047	0.35966822272074	0.511008988630593	0.844552991859659	-0.271852991507087	0.881648569609403	-0.646692569834541	0.49727757177246	"Alox12"	"arachidonate 12-lipoxygenase"
"ENSMUSG00000000339"	-0.0118558353003866	0.974970519435006	0.0396341994746196	0.965200777943271	-0.242381589231518	0.407990310483645	-0.214603225057285	0.296769416363433	"Rtca"	"RNA 3'-terminal phosphate cyclase"
"ENSMUSG00000000340"	0.124537455241267	0.465501712514594	0.0613977911206324	0.91109227895045	0.135270171534799	0.556582624422965	0.321205417896699	0.00979201855490353	"Dbt"	"dihydrolipoamide branched chain transacylase E2"
"ENSMUSG00000000346"	0.14333990090365	0.1043326551778	-0.0709503448625783	0.785370381101187	-0.0434368024088298	0.798795468469395	0.0289527536322424	0.797885602032364	"Dazap2"	"DAZ associated protein 2"
"ENSMUSG00000000355"	0.055588615404083	0.757963553441881	0.0535572638238111	0.9085958707689	-0.00274064397782784	0.994122092876059	0.106405235250066	0.403111311044096	"Mcts1"	"malignant T cell amplified sequence 1"
"ENSMUSG00000000359"	0.363982352014401	0.730026347898685	0.605972543602399	0.803783389281934	-0.414597796491855	0.803253887096211	0.555357099124945	0.502555307510932	"Rem1"	"rad and gem related GTP binding protein 1"
"ENSMUSG00000000365"	-0.526964299231029	0.508358453406867	-0.41813149795135	0.808382583939406	-0.0417917217051238	0.976874058501609	-0.986887518887503	0.0806575904674566	"Rnf17"	"ring finger protein 17"
"ENSMUSG00000000374"	-0.074310347808063	0.446699885968389	-0.0247984077737205	0.944121544929216	-0.0471974036801118	0.743425146169786	-0.146306159261895	0.0415594372685129	"Trappc10"	"trafficking protein particle complex 10"
"ENSMUSG00000000378"	0.068261731085242	0.691698893695479	-0.107740557657059	0.738279352663324	0.102696350532851	0.597057320183296	0.0632175239610335	0.657852862907186	"Ccm2"	"cerebral cavernous malformation 2"
"ENSMUSG00000000384"	-0.0591759404728867	0.819015014545529	0.0662841788905017	0.916041883920508	-0.082893493793845	0.787626534970117	-0.07578525537623	0.69886075611802	"Tbrg4"	"transforming growth factor beta regulated gene 4"
"ENSMUSG00000000386"	-0.223148120243122	0.877086574140973	0.709494819742259	0.794614206443527	-1.5411725312736	0.119622263017012	-1.05482583177447	0.169010388687793	"Mx1"	""
"ENSMUSG00000000392"	0.330378872073775	0.435500006787309	-0.418551004802237	0.57234018813269	0.0894713293374551	0.906085165449107	0.00129919660899358	0.998095046523922	"Fap"	"fibroblast activation protein"
"ENSMUSG00000000399"	-0.0972745706577713	0.32134433152147	0.123427843873161	0.477076004030636	-0.0328718692727883	0.861765420419655	-0.00671859605739888	0.961033796261754	"Ndufa9"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9"
"ENSMUSG00000000402"	0.504010149276221	0.300196661875956	-0.117018008407213	0.951473803804889	0.475986539142428	0.506911291646103	0.862978680011436	0.0343068379497253	"Egfl6"	"EGF-like-domain, multiple 6"
"ENSMUSG00000000409"	-0.151724224819683	0.857875348804707	0.658624436891218	0.566088801850209	-0.341469405914173	0.738735390470511	0.165430806157362	0.814348368249678	"Lck"	"lymphocyte protein tyrosine kinase"
"ENSMUSG00000000416"	-0.116944602888316	0.399531950465447	-0.0642355749237806	0.875760360356404	0.316997808796331	0.00621117681171922	0.135817630984234	0.243595070627193	"Cttnbp2"	"cortactin binding protein 2"
"ENSMUSG00000000420"	0.137993076724322	0.178496986618172	-0.0270909866097618	0.949719816409999	-0.14454040961694	0.253337569899858	-0.0336383195023797	0.785723677864708	"Galnt1"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1"
"ENSMUSG00000000439"	-0.022501561896699	0.925670071796542	0.0336063459220281	0.951668974835227	-0.0806350596108664	0.740126028477537	-0.0695302755855372	0.664100436195772	"Mkrn2"	"makorin, ring finger protein, 2"
"ENSMUSG00000000440"	0.212341048632405	0.71693577894138	-0.101778262506136	0.951595330085657	-0.0328551401498569	0.975516817343595	0.0777076459764129	0.890145418903436	"Pparg"	"peroxisome proliferator activated receptor gamma"
"ENSMUSG00000000441"	-0.0404828553565457	0.750584959562386	0.0174139920120741	0.963240345137602	0.022710480318411	0.904030892972533	-0.00035838302606061	0.998018181973462	"Raf1"	"v-raf-leukemia viral oncogene 1"
"ENSMUSG00000000486"	0.378031086467142	0.68609021932426	0.0279961816721438	0.992480247052471	-0.203216147782616	0.894839115268518	0.20281112035667	0.813776934372003	"Sept1"	"septin 1"
"ENSMUSG00000000489"	0.376767850193559	0.0153262899050681	-0.0125569402685153	0.987920543611333	0.00964373556371382	0.985673595937106	0.373854645488757	0.0115002827107872	"Pdgfb"	"platelet derived growth factor, B polypeptide"
"ENSMUSG00000000530"	0.296016472769437	0.108343819683091	0.119360835940231	0.848462764695673	-0.399134027485953	0.0503192571343324	0.0162432812237158	0.952482390695757	"Acvrl1"	"activin A receptor, type II-like 1"
"ENSMUSG00000000531"	0.200429770524781	0.390272137409971	-0.118502401711194	0.860669918008578	0.119534160643912	0.740126028477537	0.201461529457499	0.318908644388926	"Grasp"	"GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein"
"ENSMUSG00000000532"	-0.146195152904903	0.114023754738662	0.0591758000124037	0.841591948644158	-0.0161270264921945	0.940169970273862	-0.103146379384694	0.257687101585953	"Acvr1b"	"activin A receptor, type 1B"
"ENSMUSG00000000538"	-0.0689621197577121	0.44488327814795	-0.00878766954296655	0.980911358637472	0.0161576305599526	0.923791817740792	-0.061592158740726	0.437739538147391	"Tom1l2"	"target of myb1-like 2 (chicken)"
"ENSMUSG00000000552"	-0.125337074745598	0.241417858605805	-0.0206182231888031	0.962381330009815	0.0249161732248512	0.909468275061536	-0.12103912470955	0.215082279110576	"Zfp385a"	"zinc finger protein 385A"
"ENSMUSG00000000555"	0.443297897965783	0.0807881526107262	-0.186367946555201	0.82409630625662	0.26534168928485	0.518985762485766	0.522271640695432	0.0241187931787126	"Itga5"	"integrin alpha 5 (fibronectin receptor alpha)"
"ENSMUSG00000000560"	0.474518782289758	0.238322851218558	0.0672144937746245	0.966923572141617	-0.109143086396259	0.894012182439323	0.432590189668123	0.230894757807699	"Gabra2"	"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"ENSMUSG00000000561"	-0.0898552447844811	0.570796612018108	0.136946622530682	0.621286537576223	0.00613953679961324	0.987886810345327	0.0532309145458145	0.72224863688543	"Wdr77"	"WD repeat domain 77"
"ENSMUSG00000000562"	0.339061841014775	0.682575652894209	0.0217282395053062	0.992862836188245	-0.0438811086939206	0.979959793815366	0.316908971826161	0.653055084395477	"Adora3"	"transmembrane and immunoglobulin domain containing 3"
"ENSMUSG00000000563"	0.0627568087220847	0.558379868329857	-0.00152637070089746	0.995256009603576	-0.0211124899533223	0.909468275061536	0.0401179480678649	0.686195478314879	"Atp5f1"	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
"ENSMUSG00000000567"	0.169481562281397	0.578625443003009	-0.256572128344441	0.633603092467495	-0.0191397507332936	0.974743874940408	-0.106230316796337	0.70111087706242	"Sox9"	"SRY (sex determining region Y)-box 9"
"ENSMUSG00000000568"	-0.157240530451289	0.0818644682441838	0.019925061089646	0.962326346895474	-0.0173735425451583	0.936300269944941	-0.154689011906801	0.0634562263101359	"Hnrnpd"	"heterogeneous nuclear ribonucleoprotein D"
"ENSMUSG00000000581"	0.0618435025453411	0.754227960344313	0.0807454427679793	0.851596975127169	-0.0818332993342264	0.730852031897319	0.060755645979094	0.70111087706242	"C1d"	"C1D nuclear receptor co-repressor"
"ENSMUSG00000000594"	0.221055369329575	0.0169631044834466	0.131223642172013	0.545512086444863	-0.110670643597729	0.478344370327923	0.24160836790386	0.00526265907354275	"Gm2a"	"GM2 ganglioside activator protein"
"ENSMUSG00000000600"	0.108961850204686	0.415186478419627	-0.124113799968921	0.633977280986066	0.227874746414315	0.0737933711850371	0.21272279665008	0.0356223123115581	"Krit1"	"KRIT1, ankyrin repeat containing"
"ENSMUSG00000000605"	0.082403489792258	0.383753575374618	-0.0547352883089166	0.831672738284725	-0.00583925355033812	0.978889844615109	0.0218289479330033	0.839654395883511	"Clcn4-2"	"chloride channel 4-2"
"ENSMUSG00000000627"	-0.118932765650123	0.234890132279347	0.0289349255815473	0.943472649021464	0.0601969022169971	0.717680612448272	-0.0298009378515782	0.810575563419272	"Sema4f"	"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
"ENSMUSG00000000628"	0.218417368190688	0.600511337437352	0.0507490309976324	0.970783373206507	-0.266839634392014	0.608859177917239	0.0023267647963072	0.996580660887778	"Hk2"	"hexokinase 2"
"ENSMUSG00000000631"	0.0726989149471342	0.549471174155672	-0.0594043835883792	0.846987090484251	-0.0479757748637701	0.786390160943544	-0.0346812435050151	0.767885786653615	"Myo18a"	"myosin XVIIIA"
"ENSMUSG00000000632"	-0.183044860877304	0.0347945448063441	0.112409256382917	0.566244269475104	-0.00456398206187212	0.987886810345327	-0.0751995865562595	0.447045663049088	"Sez6"	"seizure related gene 6"
"ENSMUSG00000000682"	0.0753401728692962	0.945805904925428	0.110272733343204	0.967885426945744	-1.11326228433825	0.0741316657728837	-0.927649378125752	0.0605296621132777	"Cd52"	"CD52 antigen"
"ENSMUSG00000000686"	0.268470020581563	0.809515575063537	0.183388773229181	0.955449794833818	-1.18799130201323	0.124630167444343	-0.736132508202485	0.221677301805648	"Abhd15"	"abhydrolase domain containing 15"
"ENSMUSG00000000693"	0.258546022558132	0.536864801081115	-0.17450682009562	0.882083673730583	0.0392087126428882	0.960709983096342	0.1232479151054	0.766135963559943	"Loxl3"	"lysyl oxidase-like 3"
"ENSMUSG00000000708"	0.11973985692583	0.592417270142405	-0.179650639590235	0.658024712183418	-0.115962278987128	0.68109266455263	-0.175873061651533	0.29301768064652	"Kat2b"	"K(lysine) acetyltransferase 2B"
"ENSMUSG00000000711"	-0.0354270643847002	0.80698522554788	-0.0816603459040438	0.737660405509307	0.0123304861505008	0.955102086448434	-0.104756924138243	0.255173771665752	"Rab5b"	"RAB5B, member RAS oncogene family"
"ENSMUSG00000000732"	-0.28555022096554	0.517944256750327	-0.092682095976032	0.950020526209361	-0.481529847705991	0.266279192306087	-0.859762164647564	0.00237994582632834	"Icosl"	"icos ligand"
"ENSMUSG00000000738"	-0.0842304946694803	0.550828373124831	0.0781848844415117	0.821072726569364	-0.0560977969908827	0.788866334309755	-0.0621434072188513	0.630483105957562	"Spg7"	"spastic paraplegia 7 homolog (human)"
"ENSMUSG00000000740"	0.057610757170693	0.907361199780771	-0.00284676183759333	0.997852013525052	-0.012513692973675	0.989115556223216	0.0422503023594247	0.917961767372273	"Rpl13"	"ribosomal protein L13"
"ENSMUSG00000000743"	0.0759459656976452	0.664044729642837	-0.0250826469689289	0.964405945084921	0.0447554833823607	0.868436885624319	0.095618802111077	0.48429495666028	"Chmp1a"	"charged multivesicular body protein 1A"
"ENSMUSG00000000751"	0.0387813191653455	0.80698522554788	0.0283742100602768	0.94770376270832	-0.109735672304681	0.464716079827725	-0.0425801430790585	0.732750754471573	"Rpa1"	"replication protein A1"
"ENSMUSG00000000753"	0.462243294382363	0.0695054548524593	0.0789447976715644	0.947162448272548	-0.311758406383037	0.424044404533444	0.229429685670891	0.398711280429813	"Serpinf1"	"serine (or cysteine) peptidase inhibitor, clade F, member 1"
"ENSMUSG00000000759"	-0.0741062718531807	0.547380657908191	0.0970607927191382	0.685194249732514	-0.0153031722875347	0.947846536296956	0.00765134857842279	0.960264094424458	"Tubgcp3"	"tubulin, gamma complex associated protein 3"
"ENSMUSG00000000766"	0.0469814475418227	0.941533552599456	0.243411805852076	0.833080360800583	-0.187410112698164	0.796506570490172	0.102983140695734	0.832278353079234	"Oprm1"	"opioid receptor, mu 1"
"ENSMUSG00000000776"	-0.0578379360251464	0.858461056954368	-0.0507030005722345	0.951473803804889	0.177046775119329	0.570774321349685	0.0685058385219484	0.790421068497007	"Polr3d"	"polymerase (RNA) III (DNA directed) polypeptide D"
"ENSMUSG00000000782"	0.00868013990155504	0.986017797533712	-0.0535970274795489	0.962381330009815	0.124999508680867	0.805447970277592	0.0800826211028733	0.815954494800048	"Tcf7"	"transcription factor 7, T cell specific"
"ENSMUSG00000000787"	-0.0854910828519661	0.437556927172839	0.0528617334411704	0.866823077099482	-0.192109868229225	0.0509018074592813	-0.224739217640021	0.00286976925354705	"Ddx3x"	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked"
"ENSMUSG00000000791"	1.11442540278078	0.0470545732526551	0.473839085902321	0.840384197005474	-1.18668662995319	0.140736874153041	0.401577858729905	0.508375990786162	"Il12rb1"	"interleukin 12 receptor, beta 1"
"ENSMUSG00000000792"	-0.488293713055655	0.000264595522595174	-0.0538438729803835	0.93074507339658	-0.122527995534287	0.616813460351538	-0.664665581570326	5.38878355728617e-08	"Slc5a5"	"solute carrier family 5 (sodium iodide symporter), member 5"
"ENSMUSG00000000794"	0.0523746866306651	0.830384887709713	-0.0773442110383774	0.884605707487228	0.0683572017924784	0.823035827047311	0.043387677384766	0.83185581643463	"Kcnn3"	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
"ENSMUSG00000000804"	-0.0284990668941918	0.821297096297214	-0.128663690960146	0.350369556911918	0.0698613022374783	0.564628384628675	-0.0873014556168596	0.263578975157505	"Usp32"	"ubiquitin specific peptidase 32"
"ENSMUSG00000000805"	0.282221045632619	0.0335909963139086	0.149065188298744	0.685897969919872	-0.0696661153531537	0.815380138074953	0.361620118578209	0.00269351336829181	"Car4"	"carbonic anhydrase 4"
"ENSMUSG00000000811"	-0.153973065963979	0.757963553441881	0.0741362921582808	0.960298763155843	-0.0930690930185928	0.898359400096526	-0.172905866824291	0.657174616846635	"Txnrd3"	"thioredoxin reductase 3"
"ENSMUSG00000000823"	-0.0527627076982685	0.834020865030566	0.151820629973424	0.703509475987576	-0.185192059013341	0.404728601600884	-0.0861341367381855	0.63378210594498	"Znf512b"	"zinc finger protein 512B"
"ENSMUSG00000000826"	-0.0741971688921738	0.274808225920881	-0.0120128289055795	0.965200777943271	0.00745906292482458	0.959541287520988	-0.0787509348729287	0.184304636722004	"Dnajc5"	"DnaJ (Hsp40) homolog, subfamily C, member 5"
"ENSMUSG00000000827"	0.0872022518635089	0.541079854241695	-0.0134276907970865	0.980067538137587	0.0530937368030681	0.812562768649118	0.126868297869491	0.257687101585953	"Tpd52l2"	"tumor protein D52-like 2"
"ENSMUSG00000000838"	0.0211884635760374	0.89866747560968	0.0119205665158001	0.97943780481736	-0.027082251850491	0.90052227868525	0.00602677824134646	0.969349681242526	"Fmr1"	"fragile X mental retardation syndrome 1"
"ENSMUSG00000000861"	-0.0876770785129669	0.467367490064978	-0.04039487466382	0.914310926722341	0.0470605236356294	0.807089585776049	-0.0810114295411575	0.448774311309898	"Bcl11a"	"B cell CLL/lymphoma 11A (zinc finger protein)"
"ENSMUSG00000000869"	0.0669366126820847	0.884603607987454	-0.349164818525418	0.50889192914822	0.244427994969562	0.547560304076491	-0.0378002108737718	0.923901435431444	"Il4"	"interleukin 4"
"ENSMUSG00000000876"	0.184743632923787	0.276638089228302	0.0109315587760044	0.988809280979687	-0.0545141163578292	0.87721036164516	0.141161075341962	0.393539304517329	"Pxmp4"	"peroxisomal membrane protein 4"
"ENSMUSG00000000881"	-0.0908879698103748	0.359850367860741	0.0681909484641182	0.788298029901773	-0.0090158900255604	0.965928524015791	-0.031712911371817	0.76865736624	"Dlg3"	"discs, large homolog 3 (Drosophila)"
"ENSMUSG00000000884"	-0.408286883916979	0.247262842434443	0.173127113694488	0.872858851345832	-0.234665315391603	0.657530574798624	-0.469825085614093	0.130190015048457	"Gnb1l"	"guanine nucleotide binding protein (G protein), beta polypeptide 1-like"
"ENSMUSG00000000901"	-0.464296072160825	0.404049167715953	0.169898440049484	0.923352156928769	-0.247541515082178	0.771797756186301	-0.541939147193519	0.250867666348443	"Mmp11"	"matrix metallopeptidase 11"
"ENSMUSG00000000902"	-0.0297051073990559	0.824256767650101	0.0690351102221525	0.773984720853302	-0.0579488152960481	0.693862170356626	-0.0186188124729516	0.874905122953091	"Smarcb1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"ENSMUSG00000000915"	0.0931265039428005	0.550869550143722	0.0395735018959711	0.941805492294196	-0.0142889791145852	0.960942797428375	0.118411026724186	0.33811892455653	"Hip1r"	"huntingtin interacting protein 1 related"
"ENSMUSG00000000916"	0.0613565104738397	0.823308776469941	-0.083376385082599	0.889004899890626	-0.0738656004626665	0.830995721783144	-0.0958854750714258	0.633727809403908	"Nsun5"	"NOL1/NOP2/Sun domain family, member 5"
"ENSMUSG00000000934"	-0.206617248855314	0.382221564624784	0.273013785385435	0.507459237528537	-0.0830220190463643	0.850058731144504	-0.0166254825162432	0.959241709932941	"Top1mt"	"DNA topoisomerase 1, mitochondrial"
"ENSMUSG00000000948"	0.0218265086495499	0.845426340045537	-0.0127842744382505	0.965490604360872	-0.0176450478896069	0.908085242219839	-0.00860281367830747	0.931357991177021	"Gm38393"	""
"ENSMUSG00000000957"	0.261968257712335	0.334957748084735	-0.122475024577627	0.884892507868195	0.285908034603211	0.421603087390853	0.425401267737919	0.0523204631412249	"Mmp14"	"matrix metallopeptidase 14 (membrane-inserted)"
"ENSMUSG00000000958"	0.407847928670911	0.372789646047798	0.0258920166481266	0.989870664893209	0.145318145626091	0.883784877255377	0.579058090945129	0.144887977902579	"Slc7a7"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
