"Genes"	"logFC: 6M HET vs 2M HET"	"FDR: 6M HET vs 2M HET"	"logFC: 18M HET vs 6M HET"	"FDR: 18M HET vs 6M HET"	"logFC: 24M HET vs 18M HET"	"FDR: 24M HET vs 18M HET"	"logFC: 24M HET vs 2M HET"	"FDR: 24M HET vs 2M HET"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000223"	-0.00623058266227107	0.981274822962387	0.1173284724519	0.476230969948276	0.0600261158546838	0.658407814880097	0.171124005644313	0.0455185283261345	"Drp2"	"dystrophin related protein 2"
"ENSMUSG00000000247"	0.255287563835787	0.0918252977975585	-0.169971518836834	0.476114395051482	0.216496288958165	0.157450667521961	0.301812333957118	0.0115975624972778	"Lhx2"	"LIM homeobox protein 2"
"ENSMUSG00000000253"	-0.0794981002108011	0.755528871501045	-0.0052410533632959	0.993890526010411	-0.044975399161981	0.841682447028999	-0.129714552736078	0.368049069539021	"Gmpr"	"guanosine monophosphate reductase"
"ENSMUSG00000000263"	-0.147052769776901	0.875644084335898	0.577429801445824	0.467244032505327	-0.339435361014606	0.600044467578215	0.0909416706543171	0.879352008074114	"Glra1"	"glycine receptor, alpha 1 subunit"
"ENSMUSG00000000266"	-0.163689003401158	0.352818959509848	0.0515478531394226	0.893260294054705	0.0711388877419042	0.715369231967419	-0.0410022625198313	0.808591257112338	"Mid2"	"midline 2"
"ENSMUSG00000000275"	0.501416455023068	0.010321940466334	-0.57267620616863	0.0024456329934364	-0.153365733415106	0.518342615851029	-0.224625484560668	0.210684553856656	"Trim25"	"tripartite motif-containing 25"
"ENSMUSG00000000276"	-0.159596986877926	0.184200801301417	0.152482009548659	0.312987347454594	-0.0794506576516237	0.554501076955582	-0.0865656349808909	0.41052520214057	"Dgke"	"diacylglycerol kinase, epsilon"
"ENSMUSG00000000278"	-0.031725133479525	0.925833962982979	-0.133582230830566	0.654325987605197	-0.146391891334976	0.395991656192156	-0.311699255645066	0.0127929955594339	"Scpep1"	"serine carboxypeptidase 1"
"ENSMUSG00000000282"	-0.14577765811953	0.393596874422984	-0.0177240926463923	0.969129741133542	-0.0176110864252846	0.938047430786768	-0.181112837191207	0.1248095224067	"Mnt"	"max binding protein"
"ENSMUSG00000000290"	-0.169246713766576	0.824411708627793	-1.0524096513132	0.00184601435455557	-0.462681441080262	0.209538189526519	-1.68433780616004	2.98799857477833e-10	"Itgb2"	"integrin beta 2"
"ENSMUSG00000000295"	0.142109491433988	0.770434870931261	0.126311934977786	0.86158119702046	-0.255750306603756	0.440879600394547	0.0126711198080181	0.971690250155774	"Hddc2"	"HD domain containing 2"
"ENSMUSG00000000296"	0.0652557286978489	0.830225011493238	-0.0952398531125534	0.802784811758606	0.0400978135295391	0.874730983541606	0.0101136891148346	0.961891943381781	"Tpd52l1"	"tumor protein D52-like 1"
"ENSMUSG00000000301"	-0.25968043175567	0.832552163985122	-0.369904743557941	0.798648363904723	0.224654021688674	0.80290404045115	-0.404931153624936	0.544272044025909	"Pemt"	"phosphatidylethanolamine N-methyltransferase"
"ENSMUSG00000000303"	0.14901846885371	0.874280696037216	-0.352609327615871	0.705018233525614	-0.253781948482252	0.653341777469663	-0.457372807244412	0.263677471621641	"Cdh1"	"cadherin 1"
"ENSMUSG00000000305"	0.128588256255933	0.422588883523948	-0.0413704011387034	0.906443161938614	-0.00135935674761148	0.994473910678795	0.0858584983696178	0.496050104925741	"Cdh4"	"cadherin 4"
"ENSMUSG00000000308"	-0.244688878575949	0.0143294783609565	0.0132697250570554	0.970937154955875	0.172260527849732	0.113456355667469	-0.0591586256691611	0.605705405876351	"Ckmt1"	"creatine kinase, mitochondrial 1, ubiquitous"
"ENSMUSG00000000317"	-0.284932829441644	0.750479824452198	-0.38260579858841	0.704622421907586	0.892723907722739	0.0923666554151039	0.225185279692684	0.726023266744367	"Bcl6b"	"B cell CLL/lymphoma 6, member B"
"ENSMUSG00000000320"	0.437865947608769	0.762910296277799	0.0833257450693887	0.979044902107855	-0.170590446882213	0.904787147894355	0.350601245795944	0.711117676914265	"Alox12"	"arachidonate 12-lipoxygenase"
"ENSMUSG00000000339"	-0.186885529002312	0.530943151268508	0.146634398676806	0.749497994954408	-0.405767349280097	0.0470516344262727	-0.446018479605603	0.00879780841586949	"Rtca"	"RNA 3'-terminal phosphate cyclase"
"ENSMUSG00000000340"	0.281485468914455	0.0664366801967042	0.0563462388685809	0.895304746451903	-0.0869291597056074	0.686892529202373	0.250902548077428	0.0548689784917399	"Dbt"	"dihydrolipoamide branched chain transacylase E2"
"ENSMUSG00000000346"	0.0194286653251585	0.922883570702415	-0.00158284684409336	0.997004945044601	-0.18108353856893	0.0409978937788081	-0.163237720087865	0.0327937627833885	"Dazap2"	"DAZ associated protein 2"
"ENSMUSG00000000355"	-0.0661309049072082	0.760674589928527	0.0728041800464098	0.808454431731729	0.0505737066705955	0.788727833004174	0.0572469818097971	0.690382635412643	"Mcts1"	"malignant T cell amplified sequence 1"
"ENSMUSG00000000359"	-0.67789319569691	0.619266406295524	-0.153410758491217	0.955713337259037	0.75117789843806	0.490791484740844	-0.0801260557500666	0.951038278881201	"Rem1"	"rad and gem related GTP binding protein 1"
"ENSMUSG00000000365"	0.0097818405579897	0.995172329981979	-0.25469667424875	0.881212048275677	0.547287628059653	0.496830913939988	0.302372794368893	0.694487568987265	"Rnf17"	"ring finger protein 17"
"ENSMUSG00000000374"	0.00021463990513773	0.998742589344706	-0.0725209210187648	0.656808260945082	-0.0445523543620572	0.691653550473186	-0.116858635475684	0.108726663420601	"Trappc10"	"trafficking protein particle complex 10"
"ENSMUSG00000000378"	0.210329521207908	0.11791521561336	-0.190372708765783	0.269974685437958	0.173980570840131	0.196738907161697	0.193937383282256	0.076644757486114	"Ccm2"	"cerebral cavernous malformation 2"
"ENSMUSG00000000384"	0.0139053474177352	0.974000376774591	-0.0140446871701327	0.982485322994979	-0.0178632737637024	0.951148657071329	-0.0180026135160999	0.931605266602271	"Tbrg4"	"transforming growth factor beta regulated gene 4"
"ENSMUSG00000000386"	-0.315447678805315	0.886344287538792	-1.72898559749716	0.0710825019438133	-0.119158196172315	0.916591636395592	-2.16359147247479	0.00180622805782678	"Mx1"	""
"ENSMUSG00000000392"	-0.00169069490137622	0.997617824865101	0.0502604891481161	0.967975858999533	-0.114575481431385	0.834594566645784	-0.0660056871846455	0.883039455219393	"Fap"	"fibroblast activation protein"
"ENSMUSG00000000399"	-0.022060934467973	0.908463867418406	0.00155304777047743	0.997004945044601	0.0651680790597242	0.576384334396742	0.0446601923622287	0.662118637108874	"Ndufa9"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9"
"ENSMUSG00000000402"	0.176172175077695	0.854138625356714	-0.112667674303277	0.942550520863302	0.712884649438388	0.215644936447613	0.776389150212805	0.0982663402650093	"Egfl6"	"EGF-like-domain, multiple 6"
"ENSMUSG00000000409"	0.0989311310462572	0.929002144961751	0.870557606944434	0.244861274308216	-0.790611188818328	0.186903810849975	0.178877549172363	0.765705569060201	"Lck"	"lymphocyte protein tyrosine kinase"
"ENSMUSG00000000416"	-0.136029895821385	0.376996238985333	0.0909376387731939	0.722814741346803	0.220725525263019	0.0687425501807012	0.175633268214828	0.099112926024691	"Cttnbp2"	"cortactin binding protein 2"
"ENSMUSG00000000420"	0.0198907293699863	0.928724356720214	0.0733738529885577	0.737061931867656	-0.0974274246815322	0.419617943651539	-0.0041628423229882	0.975859734488811	"Galnt1"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1"
"ENSMUSG00000000439"	0.0731307372160152	0.761677028185697	0.0652150100315352	0.855750244539624	-0.0446961002362688	0.836648411840686	0.0936496470112817	0.518816847720309	"Mkrn2"	"makorin, ring finger protein, 2"
"ENSMUSG00000000440"	-0.137774090252703	0.86764463085043	-0.18645069732153	0.854246631522028	0.244343653941386	0.650959462886793	-0.079881133632847	0.877769471906615	"Pparg"	"peroxisome proliferator activated receptor gamma"
"ENSMUSG00000000441"	0.00433959560677054	0.984024422654342	0.0798502616707145	0.636620740606961	-0.108870467561868	0.256274550181402	-0.0246806102843833	0.813439155722746	"Raf1"	"v-raf-leukemia viral oncogene 1"
"ENSMUSG00000000486"	0.626230859461153	0.559759417838308	-0.655699017932995	0.652521982427689	0.0919664271285052	0.939253556159416	0.0624982686566633	0.94448004548435	"Sept1"	"septin 1"
"ENSMUSG00000000489"	0.139705310212091	0.596639547114117	-0.15472577109952	0.660461377225239	0.132011046687678	0.55849931582813	0.116990585800249	0.526868396479486	"Pdgfb"	"platelet derived growth factor, B polypeptide"
"ENSMUSG00000000530"	0.341112633579928	0.101510092191221	-0.360922467261384	0.125034240396569	0.0437010767409659	0.887188531004014	0.0238912430595095	0.921639501499359	"Acvrl1"	"activin A receptor, type II-like 1"
"ENSMUSG00000000531"	0.349340659738999	0.107704603117672	-0.0470945167789452	0.943423174779374	0.0220029783456098	0.952087185450567	0.324249121305663	0.0653860653149774	"Grasp"	"GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein"
"ENSMUSG00000000532"	-0.0565088808652474	0.712843014629017	0.0702745426768019	0.724996692555466	-0.0474415752602854	0.715476439861245	-0.0336759134487309	0.757100612640932	"Acvr1b"	"activin A receptor, type 1B"
"ENSMUSG00000000538"	0.0333142154025195	0.818266149691769	-0.0664271743617332	0.660461377225239	0.107747187474032	0.18429351484104	0.0746342285148181	0.304964564861316	"Tom1l2"	"target of myb1-like 2 (chicken)"
"ENSMUSG00000000552"	-0.081062246366097	0.596639547114117	-0.151057643483714	0.283493780574444	-0.0455670060954135	0.752383061693602	-0.277686895945224	0.00051267832966527	"Zfp385a"	"zinc finger protein 385A"
"ENSMUSG00000000555"	0.112919380204528	0.823905456684374	0.0610186856362976	0.944207417218871	-0.167090278381884	0.64357543013538	0.00684778745894102	0.985754533032052	"Itga5"	"integrin alpha 5 (fibronectin receptor alpha)"
"ENSMUSG00000000560"	-0.171418027194909	0.810895505755936	0.176359599685327	0.857232245988395	0.586796032015963	0.138868546245949	0.591737604506382	0.0732242021777442	"Gabra2"	"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"ENSMUSG00000000561"	-0.163684602113125	0.274825510598314	0.20040828278281	0.228063356208817	-0.0608402464219186	0.733726694992129	-0.0241165657522338	0.877237194224764	"Wdr77"	"WD repeat domain 77"
"ENSMUSG00000000562"	0.211546560351233	0.853675836509646	-0.69744186805331	0.4112019078838	0.228754482605674	0.760384282141437	-0.257140825096402	0.679526657566139	"Adora3"	"transmembrane and immunoglobulin domain containing 3"
"ENSMUSG00000000563"	-0.0562175655902948	0.683095849363507	0.0265316564231017	0.914325766179708	0.0894410949906567	0.367036995423285	0.0597551858234637	0.499767813913014	"Atp5f1"	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
"ENSMUSG00000000567"	0.0427230049452409	0.934237271278906	-0.315276658109418	0.385425691108729	0.00833512305207126	0.983957278509039	-0.264218530112106	0.229482771212984	"Sox9"	"SRY (sex determining region Y)-box 9"
"ENSMUSG00000000568"	-0.227580949718923	0.00820320401183014	0.112535906953955	0.462367591095395	0.0370341760528484	0.790146637651011	-0.078010866712119	0.403686006160905	"Hnrnpd"	"heterogeneous nuclear ribonucleoprotein D"
"ENSMUSG00000000581"	-0.00921743747770813	0.979605965545975	0.112217793415997	0.677321584717798	0.00251650268693803	0.991285715587662	0.105516858625227	0.43434981284323	"C1d"	"C1D nuclear receptor co-repressor"
"ENSMUSG00000000594"	0.283267064149035	0.00260676926592118	-0.09007034260463	0.676943129004577	-0.209897163007805	0.0420785597639495	-0.0167004414634003	0.898472067154426	"Gm2a"	"GM2 ganglioside activator protein"
"ENSMUSG00000000600"	0.0934101332307713	0.58501433418728	-0.0326234014303649	0.926429351103268	0.295655691493291	0.00730719896363458	0.356442423293698	0.000102195471963234	"Krit1"	"KRIT1, ankyrin repeat containing"
"ENSMUSG00000000605"	0.0569682299197771	0.659037540105275	0.0172789817218081	0.950037834940011	0.112012900616941	0.209538189526519	0.186260112258526	0.00554694037723339	"Clcn4-2"	"chloride channel 4-2"
"ENSMUSG00000000627"	0.0282573328397501	0.885260186230559	-0.0307815514178026	0.911648519448135	0.175704535494121	0.0766678663429922	0.173180316916069	0.0395254957661652	"Sema4f"	"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
"ENSMUSG00000000628"	0.23138739246169	0.639069541848796	-0.500125150069625	0.225093861065406	-0.0885930691679581	0.84467539078697	-0.357330826775893	0.199345455253994	"Hk2"	"hexokinase 2"
"ENSMUSG00000000631"	0.182515234898833	0.0619938182595197	-0.171132500564226	0.153948333382874	0.0326496855077817	0.820992676331637	0.0440324198423895	0.681310258039145	"Myo18a"	"myosin XVIIIA"
"ENSMUSG00000000632"	-0.0520774873587621	0.746218870228394	0.0501049205904069	0.830693110188716	0.0442733960687659	0.742459744612085	0.0423008293004107	0.689169565105412	"Sez6"	"seizure related gene 6"
"ENSMUSG00000000682"	0.638763017054421	0.525485027610256	-1.88268141679519	0.000308711089412153	-0.801019665366163	0.0636412572102044	-2.04493806510693	3.48973882857486e-08	"Cd52"	"CD52 antigen"
"ENSMUSG00000000686"	0.187180625939676	0.910492710931638	0.455396233536721	0.832350878215642	-1.48047849501927	0.0403708759745924	-0.837901635542869	0.169634022621405	"Abhd15"	"abhydrolase domain containing 15"
"ENSMUSG00000000693"	0.572924725606758	0.149104139951972	-0.35103627804677	0.6152213275235	-0.307321136809704	0.452882807223827	-0.0854326892497157	0.833971792877473	"Loxl3"	"lysyl oxidase-like 3"
"ENSMUSG00000000708"	0.0284515714859961	0.940754125464886	-0.20076196190383	0.485485450032026	-0.191289984493909	0.310745676428273	-0.363600374911743	0.00887276449118861	"Kat2b"	"K(lysine) acetyltransferase 2B"
"ENSMUSG00000000711"	-0.0175160324528067	0.932875856550477	-0.0157135285716585	0.963136556055438	0.00916363488734559	0.957258437905578	-0.0240659261371197	0.835510046300086	"Rab5b"	"RAB5B, member RAS oncogene family"
"ENSMUSG00000000732"	-0.368964448032363	0.444056538079906	-0.113738218730655	0.911648519448135	-0.468867586476772	0.199214325172944	-0.95157025323979	0.000533519565806	"Icosl"	"icos ligand"
"ENSMUSG00000000738"	-0.0518589179338332	0.807960589215357	-0.0130008920148955	0.974068075723312	-0.055638648445563	0.725234760086283	-0.120498458394292	0.258654622545261	"Spg7"	"spastic paraplegia 7 homolog (human)"
"ENSMUSG00000000740"	-0.0346762536331889	0.959826302929285	0.169416849040077	0.81350132506521	-0.174869944522188	0.666491102313313	-0.0401293491153	0.915144910444351	"Rpl13"	"ribosomal protein L13"
"ENSMUSG00000000743"	0.0787016633632017	0.709983375414135	-0.0286670140184448	0.945275899346781	0.0601150251061446	0.747306156462134	0.110149674450902	0.3838489684993	"Chmp1a"	"charged multivesicular body protein 1A"
"ENSMUSG00000000751"	-0.0573296339320792	0.748808645676974	-0.0285861484451737	0.928626764046451	-0.0190992283867104	0.911424750666986	-0.105015010763963	0.292354671532996	"Rpa1"	"replication protein A1"
"ENSMUSG00000000753"	0.301483946215569	0.384616517193846	-0.253934091254603	0.624269762948473	0.00298467982663956	0.99435152152072	0.0505345347876056	0.877843490222218	"Serpinf1"	"serine (or cysteine) peptidase inhibitor, clade F, member 1"
"ENSMUSG00000000759"	-0.0388723673808996	0.836438844089241	0.0852462333019721	0.661742590304261	-0.0355032924455852	0.814432211656604	0.0108705734754872	0.931615658831456	"Tubgcp3"	"tubulin, gamma complex associated protein 3"
"ENSMUSG00000000766"	0.325106819502191	0.517818192418508	-0.0720867171687641	0.95520474383358	0.137731221262282	0.80767973801615	0.390751323595709	0.258139029213529	"Oprm1"	"opioid receptor, mu 1"
"ENSMUSG00000000776"	-0.160640405924465	0.596639547114117	0.0123734765390925	0.988017564518792	0.119389681318998	0.669057804766224	-0.0288772480663741	0.913389111145103	"Polr3d"	"polymerase (RNA) III (DNA directed) polypeptide D"
"ENSMUSG00000000782"	0.103558483507703	0.845781251703598	-0.0916834615358454	0.905933701732888	0.0596241536196229	0.896091767256335	0.0714991755914801	0.831993788583859	"Tcf7"	"transcription factor 7, T cell specific"
"ENSMUSG00000000787"	-0.0432867796713225	0.804277772623284	0.0281114472969196	0.917633656684192	-0.107448111754831	0.300100322219732	-0.122623444129234	0.139372353395985	"Ddx3x"	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked"
"ENSMUSG00000000791"	1.40338068904518	0.0143294783609565	-0.0568626069915438	0.983671658138083	-1.28649363227064	0.0258909533239942	0.0600244497829943	0.925810573941878	"Il12rb1"	"interleukin 12 receptor, beta 1"
"ENSMUSG00000000792"	-0.436090470515292	0.0036823371484927	-0.207726036274321	0.374587838696254	-0.0498198239515503	0.829932562998522	-0.693636330741163	7.84761686811937e-09	"Slc5a5"	"solute carrier family 5 (sodium iodide symporter), member 5"
"ENSMUSG00000000794"	0.26952383630431	0.0982192337101703	-0.0452426807857615	0.9224224557059	0.120912047447496	0.544963573633104	0.345193202966045	0.00666141160341218	"Kcnn3"	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
"ENSMUSG00000000804"	-0.00348837056224988	0.986743384382474	-0.0645938054476498	0.696790320395314	0.0905926141008529	0.318619801291361	0.0225104380909532	0.81685148932583	"Usp32"	"ubiquitin specific peptidase 32"
"ENSMUSG00000000805"	0.130899733867935	0.535918298154521	0.178685295408719	0.484094867353062	-0.224376252639718	0.167086062847047	0.0852087766369363	0.596678823613065	"Car4"	"carbonic anhydrase 4"
"ENSMUSG00000000811"	-0.520962749110821	0.142336731736542	0.738689602052386	0.0307164105966974	-0.783679514522273	0.0108876930544656	-0.565952661580708	0.0400642595547183	"Txnrd3"	"thioredoxin reductase 3"
"ENSMUSG00000000823"	-0.0509851867207656	0.874225087125964	0.152685227393708	0.615157787991407	-0.285548631355006	0.072053926068433	-0.183848590682063	0.204474651165494	"Znf512b"	"zinc finger protein 512B"
"ENSMUSG00000000826"	-0.0297307888367207	0.799555828807227	0.00337845164878756	0.989352299635092	0.082792317310685	0.225256856771411	0.0564399801227519	0.356560505969364	"Dnajc5"	"DnaJ (Hsp40) homolog, subfamily C, member 5"
"ENSMUSG00000000827"	-0.00358608748489085	0.990798304916695	-0.0134948537170498	0.974066479414394	-0.0476737645019132	0.780022130289106	-0.0647547057038538	0.605932466510493	"Tpd52l2"	"tumor protein D52-like 2"
"ENSMUSG00000000838"	-0.0671410409872965	0.670688145514313	0.110676121987758	0.518017026071056	0.155153517049433	0.143195962018112	0.198688598049894	0.0185704820015002	"Fmr1"	"fragile X mental retardation syndrome 1"
"ENSMUSG00000000861"	-0.0873424976743042	0.535023713417803	0.109533356205535	0.523158821322527	-0.0772079814170204	0.538643628083305	-0.0550171228857892	0.612576421394337	"Bcl11a"	"B cell CLL/lymphoma 11A (zinc finger protein)"
"ENSMUSG00000000869"	-0.278355457534101	0.437715115386129	0.269744993346258	0.584845661433676	-0.119511988989159	0.769572148420279	-0.128122453177002	0.684863572204137	"Il4"	"interleukin 4"
"ENSMUSG00000000876"	0.0950527353028173	0.715924504903522	0.134447702863557	0.683446379426937	-0.166625296764265	0.388137160481036	0.062875141402109	0.737220224341833	"Pxmp4"	"peroxisomal membrane protein 4"
"ENSMUSG00000000881"	-0.0319163824434108	0.853675836509646	0.0833670844453836	0.620074389360188	0.0691610449437156	0.53041472808877	0.120611746945688	0.124589901297725	"Dlg3"	"discs, large homolog 3 (Drosophila)"
"ENSMUSG00000000884"	-0.344550685759024	0.384363722695239	0.371923976086463	0.460196880908106	-0.545473950792818	0.0756071063236266	-0.518100660465379	0.047274114348464	"Gnb1l"	"guanine nucleotide binding protein (G protein), beta polypeptide 1-like"
"ENSMUSG00000000901"	-0.31049453857462	0.708718585720963	-0.252494451742261	0.827610018143464	-0.364272690769839	0.495443353760173	-0.927261681086721	0.0185548853103908	"Mmp11"	"matrix metallopeptidase 11"
"ENSMUSG00000000902"	0.0397918701778856	0.805639187233122	-0.0032087983693212	0.993236838420698	0.000640797950593741	0.996361011878949	0.0372238697591582	0.711006997960082	"Smarcb1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"ENSMUSG00000000915"	0.124590529981061	0.455910919604476	0.00757598596544432	0.98810906857503	-0.0786485975590207	0.633888719625573	0.0535179183874841	0.70389438303261	"Hip1r"	"huntingtin interacting protein 1 related"
"ENSMUSG00000000916"	-0.170916019887035	0.496983609672838	0.169506106271304	0.624269762948473	-0.233271354124416	0.242718294077229	-0.234681267740146	0.158845207649254	"Nsun5"	"NOL1/NOP2/Sun domain family, member 5"
"ENSMUSG00000000934"	-0.0731996398432801	0.85719654667978	-0.0707556513561368	0.899246578912141	0.241580697322261	0.303077727215515	0.0976254061228445	0.684245969241144	"Top1mt"	"DNA topoisomerase 1, mitochondrial"
"ENSMUSG00000000948"	-0.0126296397404449	0.934103258875003	0.000581924664519137	0.997798363475107	-0.0505644584083297	0.57111205488055	-0.0626121734842555	0.356747377659711	"Gm38393"	""
"ENSMUSG00000000957"	0.680232258221662	0.00241542939831174	-0.524518865265591	0.0665110879588604	0.177627389475752	0.577205363232385	0.333340782431824	0.131316927153282	"Mmp14"	"matrix metallopeptidase 14 (membrane-inserted)"
"ENSMUSG00000000958"	0.0198940542456414	0.984887315326874	-0.384541430781906	0.596072245310423	0.12950301327076	0.823315871859741	-0.235144363265505	0.591602989579263	"Slc7a7"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
