"Genes"	"logFC: Main-effect Age"	"FDR: Main-effect Age"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000016256"	0.0261932220295748	0.000253108418210948	"Ctsz"	"cathepsin Z"
"ENSMUSG00000016496"	0.0503184913210735	0.00474537483957345	"Cd274"	"CD274 antigen"
"ENSMUSG00000018476"	-0.0213782231792268	0.0154683886945488	"Kdm6b"	"KDM1 lysine (K)-specific demethylase 6B"
"ENSMUSG00000018927"	0.0740263820613135	0.0350945636891004	"Ccl6"	"chemokine (C-C motif) ligand 6"
"ENSMUSG00000019232"	0.0372756105430368	1.022485536806e-12	"Etnppl"	"ethanolamine phosphate phospholyase"
"ENSMUSG00000019874"	-0.0286592443302835	0.0170100680738665	"Fabp7"	"fatty acid binding protein 7, brain"
"ENSMUSG00000019929"	0.0234685413485042	0.0241970852890363	"Dcn"	"decorin"
"ENSMUSG00000020241"	0.0208828246177932	0.0497858200187092	"Col6a2"	"collagen, type VI, alpha 2"
"ENSMUSG00000020385"	-0.0142496299863798	0.0497463457349051	"Clk4"	"CDC like kinase 4"
"ENSMUSG00000020423"	-0.0418948433701619	1.84044032924807e-08	"Btg2"	"B cell translocation gene 2, anti-proliferative"
"ENSMUSG00000020641"	0.0496372735740737	0.0448794656358137	"Rsad2"	"radical S-adenosyl methionine domain containing 2"
"ENSMUSG00000020889"	-0.0210276180508375	9.45566186763277e-05	"Nr1d1"	"nuclear receptor subfamily 1, group D, member 1"
"ENSMUSG00000020893"	-0.0253622934342268	1.90280089305859e-07	"Per1"	"period circadian clock 1"
"ENSMUSG00000020932"	0.0517120514992353	5.18612856156168e-39	"Gfap"	"glial fibrillary acidic protein"
"ENSMUSG00000021091"	0.0538032500809928	3.64307183425523e-17	"Serpina3n"	"serine (or cysteine) peptidase inhibitor, clade A, member 3N"
"ENSMUSG00000021250"	-0.0560075896432957	4.49717185133003e-22	"Fos"	"FBJ osteosarcoma oncogene"
"ENSMUSG00000021390"	0.0299116588232493	0.0497858200187092	"Ogn"	"osteoglycin"
"ENSMUSG00000021670"	-0.0151185854148439	0.0168416340733811	"Hmgcr"	"3-hydroxy-3-methylglutaryl-Coenzyme A reductase"
"ENSMUSG00000021709"	0.0136175596681674	0.0465284584342066	"Erbb2ip"	"Erbb2 interacting protein"
"ENSMUSG00000021948"	0.0214642942130374	0.000255632893962883	"Prkcd"	"protein kinase C, delta"
"ENSMUSG00000021998"	0.0355879477270429	0.0061618520699434	"Lcp1"	"lymphocyte cytosolic protein 1"
"ENSMUSG00000022208"	-0.0141228196927432	0.0170100680738665	"Jph4"	"junctophilin 4"
"ENSMUSG00000022468"	0.0493432249798205	0.0313678875603858	"Endou"	"endonuclease, polyU-specific"
"ENSMUSG00000022507"	-0.0175790622799121	0.0133507176007165	"1810013L24Rik"	"RIKEN cDNA 1810013L24 gene"
"ENSMUSG00000022548"	0.0416221125723899	1.10081202764283e-22	"Apod"	"apolipoprotein D"
"ENSMUSG00000022602"	-0.0544979420428999	4.0427205579678e-34	"Arc"	"activity regulated cytoskeletal-associated protein"
"ENSMUSG00000022817"	0.018882624932853	0.0148399980860459	"Itgb5"	"integrin beta 5"
"ENSMUSG00000022906"	0.0445202798657876	0.0179661558438716	"Parp9"	"poly (ADP-ribose) polymerase family, member 9"
"ENSMUSG00000023034"	-0.030086314441874	1.80681664243898e-09	"Nr4a1"	"nuclear receptor subfamily 4, group A, member 1"
"ENSMUSG00000023067"	0.0265284965012455	0.0422196186425276	"Cdkn1a"	"cyclin-dependent kinase inhibitor 1A (P21)"
"ENSMUSG00000023186"	0.023730793584533	0.0170100680738665	"Vwa5a"	"von Willebrand factor A domain containing 5A"
"ENSMUSG00000023805"	0.0165986966889011	0.00943974098621305	"Synj2"	"synaptojanin 2"
"ENSMUSG00000023959"	0.0370705000270016	0.00144366556159206	"Clic5"	"chloride intracellular channel 5"
"ENSMUSG00000024042"	-0.046458660683324	4.01745160747299e-10	"Sik1"	"salt inducible kinase 1"
"ENSMUSG00000024066"	0.0433199608527273	1.31089435987367e-05	"Xdh"	"xanthine dehydrogenase"
"ENSMUSG00000024087"	0.0657364449370391	8.76880516785668e-06	"Cyp1b1"	"cytochrome P450, family 1, subfamily b, polypeptide 1"
"ENSMUSG00000024164"	0.0968978226329127	3.01847403116681e-06	"C3"	"complement component 3"
"ENSMUSG00000024176"	-0.0214279161512089	0.00142862545540057	"Sox8"	"SRY (sex determining region Y)-box 8"
"ENSMUSG00000024190"	-0.0364411669798509	2.9680398510399e-08	"Dusp1"	"dual specificity phosphatase 1"
"ENSMUSG00000024222"	0.0231286178193768	0.000269458185441028	"Fkbp5"	"FK506 binding protein 5"
"ENSMUSG00000024300"	0.0562941608005356	0.00170412048940356	"Myo1f"	"myosin IF"
"ENSMUSG00000024501"	-0.0170894699689703	0.0187041412346745	"Dpysl3"	"dihydropyrimidinase-like 3"
"ENSMUSG00000024610"	0.0850097107291118	5.55834405097364e-12	"Cd74"	"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
"ENSMUSG00000024659"	0.0632944533419687	0.0209785342945559	"Anxa1"	"annexin A1"
"ENSMUSG00000024793"	-0.0425676512203512	0.0129012184586487	"Tnfrsf25"	"tumor necrosis factor receptor superfamily, member 25"
"ENSMUSG00000024866"	0.0605589972385672	0.048546065833271	"Acy3"	"aspartoacylase (aminoacylase) 3"
"ENSMUSG00000024998"	0.0218925359294941	0.0268976909325026	"Plce1"	"phospholipase C, epsilon 1"
"ENSMUSG00000025006"	0.015258913845792	0.0435525752835481	"Sorbs1"	"sorbin and SH3 domain containing 1"
"ENSMUSG00000025270"	0.13502980842803	1.28554827896898e-24	"Alas2"	"aminolevulinic acid synthase 2, erythroid"
"ENSMUSG00000025492"	0.0472604321881896	0.00149608614307827	"Ifitm3"	"interferon induced transmembrane protein 3"
"ENSMUSG00000025498"	0.0983446275428665	2.79595933464387e-09	"Irf7"	"interferon regulatory factor 7"
"ENSMUSG00000025608"	0.0192513979523893	0.013238226964559	"Podxl"	"podocalyxin-like"
"ENSMUSG00000025780"	0.0213535649050383	0.000993972916673256	"Itih5"	"inter-alpha (globulin) inhibitor H5"
"ENSMUSG00000025981"	-0.0333587479997455	3.69857055396129e-05	"Coq10b"	"coenzyme Q10 homolog B (S. cerevisiae)"
"ENSMUSG00000026177"	0.0521294641910979	0.0244915324058636	"Slc11a1"	"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
"ENSMUSG00000026193"	0.0174129098119358	0.0162971321677465	"Fn1"	"fibronectin 1"
"ENSMUSG00000026205"	0.0808264200863372	0.048546065833271	"Slc23a3"	"solute carrier family 23 (nucleobase transporters), member 3"
"ENSMUSG00000026285"	0.159257491808561	0.0239939904844424	"Pdcd1"	"programmed cell death 1"
"ENSMUSG00000026365"	0.0329101671231308	0.000108949632470223	"Cfh"	"complement component factor h"
"ENSMUSG00000026395"	0.0394284834231997	0.0282614721591302	"Ptprc"	"protein tyrosine phosphatase, receptor type, C"
"ENSMUSG00000026502"	-0.0197090011469501	0.0343713612035763	"Desi2"	"desumoylating isopeptidase 2"
"ENSMUSG00000026656"	0.057616708133161	0.00202198442154007	"Fcgr2b"	"Fc receptor, IgG, low affinity IIb"
"ENSMUSG00000026728"	0.0241679393816698	0.000148876900683891	"Vim"	"vimentin"
"ENSMUSG00000026822"	0.329014614755432	2.21642625763896e-25	"Lcn2"	"lipocalin 2"
"ENSMUSG00000026826"	-0.0199783323011176	0.00414179085469921	"Nr4a2"	"nuclear receptor subfamily 4, group A, member 2"
"ENSMUSG00000027078"	0.0521267330187015	0.00102678424565416	"Ube2l6"	"ubiquitin-conjugating enzyme E2L 6"
"ENSMUSG00000027199"	0.0155526066220381	0.0127471375283411	"Gatm"	"glycine amidinotransferase (L-arginine:glycine amidinotransferase)"
"ENSMUSG00000027301"	-0.0600048127675465	0.00260601807322193	"Oxt"	"oxytocin"
"ENSMUSG00000027335"	0.0277197497214701	0.0497275421289312	"Adra1d"	"adrenergic receptor, alpha 1d"
"ENSMUSG00000027514"	0.138923814279234	0.0123731453884355	"Zbp1"	"Z-DNA binding protein 1"
"ENSMUSG00000027555"	0.0629122551525316	0.0229431999280828	"Car13"	"carbonic anhydrase 13"
"ENSMUSG00000027669"	-0.0229976448313949	0.00060579026502924	"Gnb4"	"guanine nucleotide binding protein (G protein), beta 4"
"ENSMUSG00000027674"	0.0133461441223589	0.0345222834055263	"Pex5l"	"peroxisomal biogenesis factor 5-like"
"ENSMUSG00000028195"	-0.0622294602433	2.72638160112144e-08	"Cyr61"	"cysteine rich protein 61"
"ENSMUSG00000028214"	-0.0605798290387226	0.0150539542054337	"Gem"	"GTP binding protein (gene overexpressed in skeletal muscle)"
"ENSMUSG00000028268"	0.0341963217637254	0.0281962884577148	"Gbp3"	"guanylate binding protein 3"
"ENSMUSG00000028270"	0.0922037045487314	9.29379950389586e-13	"Gbp2"	"guanylate binding protein 2"
"ENSMUSG00000028341"	-0.0310389301895335	2.21918139841513e-07	"Nr4a3"	"nuclear receptor subfamily 4, group A, member 3"
"ENSMUSG00000028581"	0.0217808153762747	0.00643428839223671	"Laptm5"	"lysosomal-associated protein transmembrane 5"
"ENSMUSG00000028756"	0.01249378054255	0.0345222834055263	"Pink1"	"PTEN induced putative kinase 1"
"ENSMUSG00000028804"	-0.0154344769529241	0.031860378877013	"Csmd2"	""
"ENSMUSG00000028920"	-0.0161083549092119	0.0422225961656125	"Fbxo42"	"F-box protein 42"
"ENSMUSG00000029135"	-0.0201334330678538	0.00430960166050578	"Fosl2"	"fos-like antigen 2"
"ENSMUSG00000029298"	0.0670378778234289	6.55092123465418e-06	"Gbp9"	"guanylate-binding protein 9"
"ENSMUSG00000029304"	0.0343793704786221	0.000120636641371147	"Spp1"	"secreted phosphoprotein 1"
"ENSMUSG00000029561"	0.0540232223255592	0.000200495517562912	"Oasl2"	"2'-5' oligoadenylate synthetase-like 2"
"ENSMUSG00000029605"	0.0987525804234291	0.0168817048054775	"Oas1b"	"2'-5' oligoadenylate synthetase 1B"
"ENSMUSG00000029816"	0.0690357064168611	3.42819287290329e-05	"Gpnmb"	"glycoprotein (transmembrane) nmb"
"ENSMUSG00000029826"	0.0353070750414752	0.00803951420516504	"Zc3hav1"	"zinc finger CCCH type, antiviral 1"
"ENSMUSG00000030107"	0.0713543750012316	0.0129299828504291	"Usp18"	"ubiquitin specific peptidase 18"
"ENSMUSG00000030108"	0.0335570968920009	0.0283929983045195	"Slc6a13"	"solute carrier family 6 (neurotransmitter transporter, GABA), member 13"
"ENSMUSG00000030111"	0.0725679544953428	1.18761789216161e-11	"A2m"	"alpha-2-macroglobulin"
"ENSMUSG00000030124"	0.0381934626558703	0.0066332557909577	"Lag3"	"lymphocyte-activation gene 3"
"ENSMUSG00000030223"	-0.0201810924180705	0.00687542621463699	"Ptpro"	"protein tyrosine phosphatase, receptor type, O"
"ENSMUSG00000030513"	0.0204256181454054	0.0422196186425276	"Pcsk6"	"proprotein convertase subtilisin/kexin type 6"
"ENSMUSG00000030579"	0.0313412957298237	0.0229575786017335	"Tyrobp"	"TYRO protein tyrosine kinase binding protein"
"ENSMUSG00000030772"	0.0137947924836395	0.0207871540350593	"Dkk3"	"dickkopf homolog 3 (Xenopus laevis)"
"ENSMUSG00000030789"	0.207734070834229	2.27933113042256e-10	"Itgax"	"integrin alpha X"
"ENSMUSG00000031207"	0.0176619187324274	0.0375046370819367	"Msn"	"moesin"
"ENSMUSG00000031239"	-0.0161529877495015	0.0368053343714214	"Itm2a"	"integral membrane protein 2A"
"ENSMUSG00000031285"	-0.022185584843071	0.000418297533966687	"Dcx"	"doublecortin"
"ENSMUSG00000031502"	0.0169598935654192	0.0240717608466139	"Col4a1"	"collagen, type IV, alpha 1"
"ENSMUSG00000031503"	0.0162316080890155	0.0259048634781753	"Col4a2"	"collagen, type IV, alpha 2"
"ENSMUSG00000031558"	-0.0180980660591516	0.0283004515628289	"Slit2"	"slit homolog 2 (Drosophila)"
"ENSMUSG00000031841"	-0.0154144927094096	0.0264914703562663	"Cdh13"	"cadherin 13"
"ENSMUSG00000032193"	-0.0204530591503257	0.00797169214829451	"Ldlr"	"low density lipoprotein receptor"
"ENSMUSG00000032231"	0.0366505320115176	0.00473802235252452	"Anxa2"	"annexin A2"
"ENSMUSG00000032327"	0.0386202645725564	0.00289927783134848	"Stra6"	"stimulated by retinoic acid gene 6"
"ENSMUSG00000032372"	0.0501582423244882	0.0495106126873609	"Plscr2"	"phospholipid scramblase 2"
"ENSMUSG00000032373"	0.0214161247921884	0.0313678875603858	"Car12"	"carbonic anyhydrase 12"
"ENSMUSG00000032440"	0.0240806318275917	0.0109926144530028	"Tgfbr2"	"transforming growth factor, beta receptor II"
"ENSMUSG00000032487"	0.0286966041143507	0.00636476940384482	"Ptgs2"	"prostaglandin-endoperoxide synthase 2"
"ENSMUSG00000032517"	0.0158497291743301	5.63168015976229e-05	"Mobp"	"myelin-associated oligodendrocytic basic protein"
"ENSMUSG00000032690"	0.0837991378891437	0.00579842711918992	"Oas2"	"2'-5' oligoadenylate synthetase 2"
"ENSMUSG00000032807"	0.0414892724539134	0.0224291312087616	"Alox12b"	"arachidonate 12-lipoxygenase, 12R type"
"ENSMUSG00000032849"	0.025850353683272	0.0468188113404619	"Abcc4"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
"ENSMUSG00000033208"	0.0142835350754113	0.0420254787320359	"S100b"	"S100 protein, beta polypeptide, neural"
"ENSMUSG00000033316"	0.0206498012888743	0.000764024137879846	"Galnt9"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9"
"ENSMUSG00000033777"	0.0491684636964673	0.0337245165801537	"Tlr13"	"toll-like receptor 13"
"ENSMUSG00000033849"	0.0158278831136045	0.0445421774223882	"B3galt2"	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2"
"ENSMUSG00000033880"	0.0332762221463034	3.51661519593385e-05	"Lgals3bp"	"lectin, galactoside-binding, soluble, 3 binding protein"
"ENSMUSG00000034413"	-0.0209813818056365	0.00225536493939133	"Neurl1b"	"neuralized E3 ubiquitin protein ligase 1B"
"ENSMUSG00000034459"	0.0505141244219183	0.0032220311664636	"Ifit1"	"interferon-induced protein with tetratricopeptide repeats 1"
"ENSMUSG00000034579"	0.040429324664449	0.00738695326979055	"Pla2g3"	"phospholipase A2, group III"
"ENSMUSG00000034640"	-0.0265170755429686	0.00120675334381337	"Tiparp"	"TCDD-inducible poly(ADP-ribose) polymerase"
"ENSMUSG00000035168"	0.0161496118511961	0.0259872034146147	"Tanc1"	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"
"ENSMUSG00000035258"	-0.0298045304995894	0.0245132418201232	"Abi3bp"	"ABI gene family, member 3 (NESH) binding protein"
"ENSMUSG00000035929"	0.072313750965806	1.144362639118e-07	"H2-Q4"	"histocompatibility 2, Q region locus 4"
"ENSMUSG00000036098"	0.0180120589274852	0.00357827625744024	"Myrf"	"myelin regulatory factor"
"ENSMUSG00000036273"	0.0166189433427391	0.0164598287335199	"Lrrk2"	"leucine-rich repeat kinase 2"
"ENSMUSG00000036594"	0.103723370534243	1.144362639118e-07	"H2-Aa"	"histocompatibility 2, class II antigen A, alpha"
"ENSMUSG00000036777"	0.0348081167957426	1.72996102995689e-11	"Anln"	"anillin, actin binding protein"
"ENSMUSG00000036833"	0.0229523519109717	0.0345222834055263	"Pnpla7"	"patatin-like phospholipase domain containing 7"
"ENSMUSG00000036887"	0.0265885855921999	6.94791055590662e-05	"C1qa"	"complement component 1, q subcomponent, alpha polypeptide"
"ENSMUSG00000036896"	0.0274639423027339	0.000108046718714069	"C1qc"	"complement component 1, q subcomponent, C chain"
"ENSMUSG00000036905"	0.0256871374372461	0.000134309014418221	"C1qb"	"complement component 1, q subcomponent, beta polypeptide"
"ENSMUSG00000037095"	0.105780677708741	7.54358935708168e-05	"Lrg1"	"leucine-rich alpha-2-glycoprotein 1"
"ENSMUSG00000037321"	0.0473219937551904	0.00198764674203356	"Tap1"	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
"ENSMUSG00000037405"	0.0505652576881838	0.0246063686506025	"Icam1"	"intercellular adhesion molecule 1"
"ENSMUSG00000037465"	-0.0241877709856161	0.00234659382837297	"Klf10"	"Kruppel-like factor 10"
"ENSMUSG00000037573"	-0.0183867585456085	0.0133507176007165	"Tob1"	"transducer of ErbB-2.1"
"ENSMUSG00000037820"	0.04858766799914	1.03120249772691e-06	"Tgm2"	"transglutaminase 2, C polypeptide"
"ENSMUSG00000037868"	-0.0621513513917425	1.06088386354966e-08	"Egr2"	"early growth response 2"
"ENSMUSG00000037921"	0.0623254515382639	0.0224268533839538	"Ddx60"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 60"
"ENSMUSG00000038007"	0.0392674091345689	3.51661519593385e-05	"Acer2"	"alkaline ceramidase 2"
"ENSMUSG00000038244"	0.0146808188101727	0.013336117486289	"Mical2"	"microtubule associated monooxygenase, calponin and LIM domain containing 2"
"ENSMUSG00000038268"	-0.0324801997789006	0.0181434030071905	"Ovca2"	"candidate tumor suppressor in ovarian cancer 2"
"ENSMUSG00000038393"	0.0227558071300177	0.0103371372858174	"Txnip"	"thioredoxin interacting protein"
"ENSMUSG00000038418"	-0.023674597936462	1.12052102597313e-06	"Egr1"	"early growth response 1"
"ENSMUSG00000038500"	-0.0229170676731541	0.0246063686506025	"Prr3"	"proline-rich polypeptide 3"
"ENSMUSG00000038550"	-0.0374513692417993	4.3941921268533e-05	"Ciart"	"circadian associated repressor of transcription"
"ENSMUSG00000038642"	0.0282198506792466	1.46498097336243e-07	"Ctss"	"cathepsin S"
"ENSMUSG00000038764"	0.0150452306268871	0.0313678875603858	"Ptpn3"	"protein tyrosine phosphatase, non-receptor type 3"
"ENSMUSG00000039059"	-0.0195879410180173	0.00123891335723827	"Hrh3"	"histamine receptor H3"
"ENSMUSG00000039109"	0.0772492286338929	0.00155337255597261	"F13a1"	"coagulation factor XIII, A1 subunit"
"ENSMUSG00000039304"	0.0424017985290737	0.0168817048054775	"Tnfsf10"	"tumor necrosis factor (ligand) superfamily, member 10"
"ENSMUSG00000040128"	-0.0222090668054978	0.0224268533839538	"Pnrc1"	"proline-rich nuclear receptor coactivator 1"
"ENSMUSG00000040170"	0.0358467434467539	0.0343713612035763	"Fmo2"	"flavin containing monooxygenase 2"
"ENSMUSG00000040253"	0.0460966990985664	6.94791055590662e-05	"Gbp7"	"guanylate binding protein 7"
"ENSMUSG00000040264"	0.0971785135369494	5.18093375149486e-16	"Gbp2b"	"guanylate binding protein 2b"
"ENSMUSG00000040565"	-0.0166455595263728	0.018586489602947	"Btaf1"	"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, (Mot1 homolog, S. cerevisiae)"
"ENSMUSG00000040624"	0.0174389070156414	0.0341587749373356	"Plekhg1"	"pleckstrin homology domain containing, family G (with RhoGef domain) member 1"
"ENSMUSG00000040752"	0.0491111413185152	0.0181984765238425	"Myh6"	"myosin, heavy polypeptide 6, cardiac muscle, alpha"
"ENSMUSG00000041378"	0.0227513754625197	0.042850715640493	"Cldn5"	"claudin 5"
"ENSMUSG00000041481"	0.089159537567783	0.0147961665323256	"Serpina3g"	""
"ENSMUSG00000041559"	0.0304774376578251	0.00582375216672933	"Fmod"	"fibromodulin"
"ENSMUSG00000041577"	0.0248620050124628	0.0329583168062938	"Prelp"	"proline arginine-rich end leucine-rich repeat"
"ENSMUSG00000041596"	0.109676090831528	0.0012070783250019	"Nlrp5-ps"	""
"ENSMUSG00000041607"	0.014191276341279	1.51467913219061e-05	"Mbp"	"myelin basic protein"
"ENSMUSG00000041828"	0.0385027012633534	5.05322236319607e-07	"Abca8a"	"ATP-binding cassette, sub-family A (ABC1), member 8a"
"ENSMUSG00000042834"	-0.0299436309902255	8.81687747499281e-08	"Nrep"	"neuronal regeneration related protein"
"ENSMUSG00000043456"	0.0195116401331015	0.0472372774504482	"Zfp536"	"zinc finger protein 536"
"ENSMUSG00000043872"	-0.0285130678842026	0.0301798089222587	"Zmym1"	"zinc finger, MYM domain containing 1"
"ENSMUSG00000044043"	0.0312116392596117	0.0223843259264837	"Pcdhb14"	"protocadherin beta 14"
"ENSMUSG00000044447"	0.023139210580402	0.0241970852890363	"Dock5"	"dedicator of cytokinesis 5"
"ENSMUSG00000044583"	0.0480556596997641	0.0175990447544998	"Tlr7"	"toll-like receptor 7"
"ENSMUSG00000045094"	0.0479099449413469	0.0402018832840981	"Arhgef37"	"Rho guanine nucleotide exchange factor (GEF) 37"
"ENSMUSG00000045903"	-0.0246438050773148	0.0139180053230177	"Npas4"	"neuronal PAS domain protein 4"
"ENSMUSG00000046805"	0.0475715409811939	7.18626183004948e-17	"Mpeg1"	"macrophage expressed gene 1"
"ENSMUSG00000046879"	0.0483715291817291	2.47407607276435e-07	"Irgm1"	"immunity-related GTPase family M member 1"
"ENSMUSG00000047507"	-0.0186652370222309	0.00210294900037836	"Baiap3"	"BAI1-associated protein 3"
"ENSMUSG00000047735"	0.0346646456690752	0.0259048634781753	"Samd9l"	"sterile alpha motif domain containing 9-like"
"ENSMUSG00000047777"	-0.0246480177201514	0.0345222834055263	"Phf13"	"PHD finger protein 13"
"ENSMUSG00000047797"	0.0285986140323633	0.0246075482536549	"Gjb1"	"gap junction protein, beta 1"
"ENSMUSG00000048583"	0.0287170723199251	2.02755599823823e-07	"Igf2"	"insulin-like growth factor 2"
"ENSMUSG00000048696"	-0.0308887906693381	0.0236000702436517	"Mex3d"	"mex3 homolog D (C. elegans)"
"ENSMUSG00000049122"	-0.033315640670779	0.0343713612035763	"Frmd3"	"FERM domain containing 3"
"ENSMUSG00000049723"	0.237762610954884	0.0127217524820713	"Mmp12"	"matrix metallopeptidase 12"
"ENSMUSG00000049907"	-0.0255590013640871	5.47716232964253e-05	"Rasl11b"	"RAS-like, family 11, member B"
"ENSMUSG00000050211"	-0.0279090421892895	0.0224268533839538	"Pla2g4e"	"phospholipase A2, group IVE"
"ENSMUSG00000050248"	0.0254355499441135	0.00904451997473793	"Evc2"	"Ellis van Creveld syndrome 2"
"ENSMUSG00000050370"	0.197713983926641	1.94642962232483e-07	"Ch25h"	"cholesterol 25-hydroxylase"
"ENSMUSG00000051242"	0.0369490838106938	8.64670750267083e-06	"Pcdhb9"	"protocadherin beta 9"
"ENSMUSG00000051599"	0.0600443488584843	0.000393260120121385	"Pcdhb2"	"protocadherin beta 2"
"ENSMUSG00000051985"	0.0196145317762763	0.0129405321141475	"Igfn1"	"immunoglobulin-like and fibronectin type III domain containing 1"
"ENSMUSG00000052229"	-0.0274586373455484	0.000134326260272526	"Gpr17"	"G protein-coupled receptor 17"
"ENSMUSG00000052305"	0.113344094630926	1.5303586199828e-97	"Hbb-bs"	"hemoglobin, beta adult s chain"
"ENSMUSG00000052613"	-0.0273152723945049	0.0106114397893126	"Pcdh15"	"protocadherin 15"
"ENSMUSG00000052684"	-0.0257776441458251	6.15373073546215e-05	"Jun"	"jun proto-oncogene"
"ENSMUSG00000052837"	-0.0422673253125601	6.03490356498112e-13	"Junb"	"jun B proto-oncogene"
"ENSMUSG00000053175"	0.107522620533425	0.0360876947811961	"Bcl3"	"B cell leukemia/lymphoma 3"
"ENSMUSG00000054072"	0.0815953251759745	1.0801433264946e-07	"Iigp1"	"interferon inducible GTPase 1"
"ENSMUSG00000055413"	0.176097067996436	0.000247760142476433	"H2-Q5"	""
"ENSMUSG00000055491"	-0.0213703774885187	0.0162971321677465	"Pprc1"	"peroxisome proliferative activated receptor, gamma, coactivator-related 1"
"ENSMUSG00000055538"	0.0148726065579162	0.031860378877013	"Zcchc24"	"zinc finger, CCHC domain containing 24"
"ENSMUSG00000056054"	0.197869182341492	4.18241510928302e-06	"S100a8"	"S100 calcium binding protein A8 (calgranulin A)"
"ENSMUSG00000056071"	0.270829737262646	6.90895812541644e-08	"S100a9"	"S100 calcium binding protein A9 (calgranulin B)"
